STATE NAME,,DISTRICT NAME,,SUB DISTRICT NAME,VILLAGE NAME,,,,,,,,,,
TELANGANA,,BHADRADRI KOTHAGUDEM,,Karakagudem,Samath Mothe,,,,,,,,,,
TELANGANA,,WARANGAL RURAL,,Sangem,Sangam,,,,,,,,,,
TELANGANA,,WARANGAL RURAL,,Sangem,Shapur,,,,,,,,,,
TELANGANA,,WARANGAL RURAL,,Sangem,Sangam,,,,,,,,,,
TELANGANA,,WARANGAL RURAL,,Sangem,Elugur( Rangampet),,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Kasipet,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Gopalnagar,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Narsapur,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Madaram,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Choutpalle,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Venkaipalle,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Kistampet,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Ankepalle,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Thorrur,Cherlapalem,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Manpahad,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Dharamapur,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Kolkonda,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Dharamapur,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Dharamapur,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Ramrajpalle,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Dharamapur,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Singarajpalle,,,,,,,,,,
TELANGANA,,MANCHERIAL,,Tandur,Rampur,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Danthalapalle,Kalvapalle,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Gollapalle,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Madhapuram,,,,,,,,,,
TELANGANA,,YADADRI BHUVANAGIRI,,Adda Guduru,Repaka (P) Dacharam,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Madhapuram,,,,,,,,,,
TELANGANA,,JANGOAN,,Devaruppula,Kadavendi,,,,,,,,,,
TELANGANA,,BHADRADRI KOTHAGUDEM,,Karakagudem,Samath Mothe,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Jinnaram,Solakpalle,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Rebbena,Rampur,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Sirpur U,Mahagaon,,,,,,,,,,
TELANGANA,,MEDAK,,Shankarampet (A),Cheelapalle,,,,,,,,,,
TELANGANA,,NALGONDA,,Nalgonda,Anneparthy,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Patancheru,Indresham,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Patancheru,Rameshwar Banda,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Rebbena,Rajaram,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Rebbena,Venkulam,,,,,,,,,,
TELANGANA,,VIKARABAD,,Vikarabad,Yerravally,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Kandi,Indrakaran,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Kanthali,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Dongaon,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Jukkal,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Gundoor,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Jukkal,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Jukkal,Siddapur,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Achampet,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Jinnaram,Amdoor,,,,,,,,,,
TELANGANA,,SANGAREDDY,,Kangti,Sidhangarga,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Brahmanpalle,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Pedda Chintakunta,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Tujalpur,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Jakkupalle,,,,,,,,,,
TELANGANA,,MEDAK,,Narsapur,Tuljarampet,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Jainoor,Bhusimatta,,,,,,,,,,
TELANGANA,,KUMURAM BHEEM ASIFABAD,,Jainoor,Jainoor (CT),,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Kommavaram,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Gandhari,Gurjal,,,,,,,,,,
TELANGANA,,KAMAREDDY,,Gandhari,Durgam,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gowraram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gurimella,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gowraram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gurimella,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Kommavaram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Venkatapuram,,,,,,,,,,
TELANGANA,,NALGONDA,,Miryalaguda,Tadkamalla,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Jagathraopet,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Kambalapalle,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Dharmapuram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Bayyaram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Uppalapadu,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gandhampalle,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Singaram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Motlathimma Puram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Dharmapuram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Gandhampalle,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Kothapeta,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Singaram,,,,,,,,,,
TELANGANA,,MAHABUBABAD,,Bayyaram,Ramachandra Puram,,,,,,,,,,
